SYMBOL,PDO,PDH,PDL,PDC,Previous Day Close,Traded Quantity,Today Open Price,Today High,Today Low,TC/LATEST,TVOLUME,T % Price,SYMBOL,GapUP/GapDown,OL-OH,PRB,BUY,SELL,Change in Price %,Change in Volume %,Change in OI %,PCR ,Fut OI,Fut Change in OI ,Change in CE,Change in PE,Total,Previous Day Volume,CE,PE ,PCR,Delivery Volume,Delivery %,Nifty 50?
FEDERALBNK,81.5,83.25,81.1,82.5,81.15,16310517,81.5,83.25,81.1,82.5,16310517,1.54,FEDERALBNK,, ,,,,1.66,22.11,-2.40,0.46,80780000,-1940000,-840000,-390000,-1230000,13356776,22940000,13920000,0.61,"6,186,845",37.93,
HEROMOTOCO,2759,2764,2730.6,2740,2737,442282,2759,2764,2730.6,2740,442282,-0.07,HEROMOTOCO,, ,,,,0.11,-37.53,-2.41,-0.71,4762200,-114900,2100,-1500,600,708031,1836300,1731000,0.94,"196,866",44.51,Yes
BANKBARODA,77.2,78.8,76.8,78.35,77.2,19437409,77.2,78.8,76.8,78.35,19437409,1.29,BANKBARODA,, ,,,,1.49,-26.65,-2.44,0.32,158897700,-3884400,1064700,339300,1404000,26501208,42166800,29261700,0.69,"3,670,140",18.88,
ALKEM,3870,3922,3844,3863,3878,66042,3870,3922,3844,3863,66042,-0.4,ALKEM,, ,,,,-0.39,-26.86,-2.80,0.00,350000,-9800,800,0,800,90295,84400,16400,0.19,"21,534",32.61,
ASIANPAINT,3230.05,3333,3215,3300.5,3200,2423168,3230.05,3333,3215,3300.5,2423168,3.1,ASIANPAINT,, ,,,,3.14,6.13,-2.86,0.70,5050200,-144300,535800,374100,909900,2283290,1833900,1258500,0.69,"615,326",25.39,Yes
GODREJCP,1105.8,1107,1089.05,1099.8,1100,1038779,1105.8,1107,1089.05,1099.8,1038779,0.05,GODREJCP,, ,,,,-0.02,-47.90,-2.88,16.00,5482000,-158000,-1000,-16000,-17000,1993712,1470000,649000,0.44,"479,590",46.17,
TCS,3796,3816.7,3707,3715,3797.9,2643336,3796,3816.7,3707,3715,2643336,-1.89,TCS,, ,,,,-2.18,-17.59,-2.89,-0.62,10107300,-292200,482700,-300300,182400,3207480,3417900,2974500,0.87,"1,863,636",71,
SHREECEM,28296,28600,27948.1,28550,28250,75809,28296,28600,27948.1,28550,75809,0.93,SHREECEM,, ,,,,1.06,-25.72,-2.97,0.28,191925,-5700,3000,825,3825,102061,18875,5600,0.30,"42,389",55.92,Yes
NAUKRI,6181,6265.25,6103.8,6205.1,6189.8,378180,6181,6265.25,6103.8,6205.1,378180,0.37,NAUKRI,, ,,,,0.25,-37.61,-3.04,0.10,1044375,-31750,14750,1500,16250,606196,367125,217875,0.59,"145,682",38.52,
AMARAJABAT,701,716.45,700.05,712.25,699.9,923514,701,716.45,700.05,712.25,923514,1.86,AMARAJABAT,, ,,,,1.76,-17.73,-3.15,-2.45,7455000,-235000,31000,-76000,-45000,1122577,2740000,1930000,0.70,"281,072",30.44,
DRREDDY,4739,4784.45,4687,4758.4,4709.85,562951,4739,4784.45,4687,4758.4,562951,1.16,DRREDDY,, ,,,,1.03,-12.79,-3.54,0.35,3189750,-112875,-32250,-11250,-43500,645527,1047125,827625,0.79,"283,124",50.29,
SRTRANSFIN,1352.4,1355.25,1322.7,1329,1347.45,1235877,1352.4,1355.25,1322.7,1329,1235877,-1.75,SRTRANSFIN,, ,,,,-1.37,-21.60,-3.73,0.25,4565600,-170400,271200,68800,340000,1576383,1242400,599600,0.48,"524,978",42,Yes
BRITANNIA,3984.6,4025.9,3963.85,4001,3984.6,352460,3984.6,4025.9,3963.85,4001,352460,0.09,BRITANNIA,, ,,,,0.41,-48.82,-3.99,0.40,1253800,-50000,-17000,-6800,-23800,688613,778200,281200,0.36,"166,429",47.22,Yes
RBLBANK,166.55,171.3,165.5,171,165,9101417,166.55,171.3,165.5,171,9101417,3.32,RBLBANK,, ,,,,3.64,25.93,-4.62,-0.01,33376100,-1542800,611900,-5800,606100,7227276,11759500,9613500,0.82,"2,377,232",26.12,
BANDHANBNK,286,288.95,281.65,285.85,284.7,4162554,286,288.95,281.65,285.85,4162554,0.3,BANDHANBNK,, ,,,,0.40,-38.39,-4.90,0.51,27772200,-1360800,192600,99000,291600,6756768,7648200,5648400,0.74,"1,085,706",26.08,
BHARTIARTL,668,673.3,654,663.85,662,30228814,668,673.3,654,663.85,30228814,-0.03,BHARTIARTL,, ,,,,0.28,-49.33,-5.00,0.13,79781802,-3990756,4890342,629340,5519682,59661820,42371241,22944996,0.54,"11,672,184",38.61,Yes
GODREJPROP,1494,1572.8,1477.45,1561.1,1489,1496573,1494,1572.8,1477.45,1561.1,1496573,4.84,GODREJPROP,, ,,,,4.84,169.73,-5.22,0.29,1916850,-100100,403650,115700,519350,554834,925600,308750,0.33,"285,825",19.10,Yes
BHARATFORG,770.7,784.9,762.8,778.25,766.05,2545047,770.7,784.9,762.8,778.25,2545047,1.44,BHARATFORG,, ,,,,1.59,-25.25,-5.65,0.03,8122500,-459000,102000,3000,105000,3404792,2686500,1305000,0.49,"1,003,718",39.44,
HINDALCO,474,474,455.05,458,470,10038500,474,474,455.05,458,10038500,-2.2,HINDALCO,,SELL,,,,-2.55,-51.85,-5.77,-0.15,35939400,-2072600,3349700,-516000,2833700,20847646,19158650,10726350,0.56,"2,594,218",25.84,
CANBK,159,162.2,157.2,161.2,158.65,16600381,159,162.2,157.2,161.2,16600381,1.32,CANBK,, ,,,,1.61,-49.19,-6.14,0.32,73024200,-4482000,-4627800,-1485000,-6112800,32668471,19488600,11691000,0.60,"5,461,565",32.90,
METROPOLIS,2825,2925,2825,2895.15,2821.05,283338,2825,2925,2825,2895.15,283338,2.54,METROPOLIS,,BUY,,,,2.63,33.60,-6.54,0.27,302800,-19800,12400,3400,15800,212086,102400,23400,0.23,"106,595",37.62,
